id,baseValue,type,increasePerLevel,increaseType,maxLevel,category,description,icon
Example,0.5,DOUBLE,1,FLAT,5,CAMPAIGN,,
searchlight_area,240,INT,100,FLAT,3,CAMPAIGN,Expands the fully exposed area covered by each Breach Light head.,
searchlight_speed,30,INT,0.2,MULT,3,CAMPAIGN,Makes each Breach Light sweep its assigned arc faster.,
fishing_drone_count,1,INT,1,FLAT,3,CAMPAIGN,"Deploys more ROD drones per cast, with each drone able to return with a catch.",
fishing_bar_size,120,INT,20,FLAT,4,CAMPAIGN,The size of the catch bar in the fishing minigame.,
searchlight_count,2,INT,1,FLAT,3,CAMPAIGN,Deploys more Breach Lights at the same time.,
searchlight_rare_chance,0,DOUBLE,0.05,FLAT,4,CAMPAIGN,Increases the chance that newly generated buried patterns belong to rarer species.,
searchlight_track_time,0,DOUBLE,2,FLAT,4,CAMPAIGN,Keeps buried patterns exposed and reachable for longer after a Breach Light passes over them.,
searchlight_detect_radius,400,INT,200,FLAT,3,CAMPAIGN,Widens the area around each Breach Light head where buried patterns appear as dents without being fully exposed.,
searchlight_slow,0,DOUBLE,0.25,FLAT,2,CAMPAIGN,Increases the slowing effect on surfaced patterns while they remain inside a Breach Light beam.,
drone_speed,300,INT,0.12,MULT,4,CAMPAIGN,Increases ROD drone travel speed.,
drone_acceleration,0.45,DOUBLE,0.1,MULT,4,CAMPAIGN,Makes ROD drones turn and adjust velocity more responsively.,
drone_catch_area,150,INT,0.15,MULT,4,CAMPAIGN,Expands the visible fishing ring and the drones' base search reach.,
drone_chase_time,8,DOUBLE,2,FLAT,4,CAMPAIGN,Keeps a drone pursuing a pattern for longer before it abandons the chase and returns to the fishing ring.,
drone_chase_margin,40,INT,80,FLAT,3,CAMPAIGN,Lets drones acquire and continue chasing patterns farther beyond the visible fishing ring.,
drone_rare_priority,0,DOUBLE,0.25,FLAT,4,CAMPAIGN,Increases the chance that idle drones choose rarer available patterns before common ones when several are within reach.,
harpoon_charges,2,INT,1,FLAT,4,CAMPAIGN,Increases the number of ready harpoon shots the rig can hold.,
harpoon_recharge_time,12,DOUBLE,-0.15,MULT,4,CAMPAIGN,Restores spent harpoon charges faster.,
harpoon_speed,900,INT,0.12,MULT,4,CAMPAIGN,Increases harpoon projectile speed.,
harpoon_aim_assist,0,DOUBLE,2.5,FLAT,3,CAMPAIGN,Widens the angle within which a harpoon shot snaps toward a valid pattern. It changes direction only and does not alter the chosen range.,
minigame_progress_rate,1,DOUBLE,0.08,MULT,4,MINIGAME,How fast the meter fills while the window is on the fish.,
minigame_escape_resist,1,DOUBLE,-0.08,MULT,4,MINIGAME,How fast the meter drains while the window is off the fish.,
