name,id,tags,rarity,icon,desc,sortOrder,spawnWeight,motion,motionSpeed,restlessness,jitter,difficulty,progressRateMult,escapeRateMult,weightMax,weightMin,lengthMax,lengthMin,baseValue,starColours,constellationAges,minAberration,maxAberration,reachedBy,systemTags,regions,spriteDirection
Abyssal Ghost Manta,abyssal_ghost_manta,"abyssal, fish, special",LEGENDARY,graphics/catchrelease/fish/abyssal_ghost_manta.png,"A shadow with nothing casting it, wider than the rupture it came through. It has never finished becoming a manta and shows no sign of intending to.",,1,MIXED,1.7,1.9,2.5,195,0.6,2.7,420.0,60.0,5.5,2.0,9000,,,,,BREACH_LAMP,,ABYSSAL,90
Abyssal Irisfin,abyssal_irisfin,"abyssal, fish",COMMON,graphics/catchrelease/fish/abyssal_irisfin.png,"A thousand eyes open and close in no order and never all at once. Ratings who have gutted one report the pattern continues afterwards, on the inside.",,12,MIXED,1.5,1.65,2.5,150,0.85,1.4,45.0,6.0,2.0,0.8,2400,,,,,,,ABYSSAL,180
Abyssal Gazer,abyssal_jack,"abyssal, fish",COMMON,graphics/catchrelease/fish/abyssal_jack.png,"One eye the size of a fist, slotted crosswise. Ratings who hold the stare too long report it thrashing and suffocating, which it is not doing, and cannot.",,12,MIXED,1.5,1.65,2.8,150,0.85,1.4,45.0,6.0,2.0,0.8,2400,,,,,,,ABYSSAL,180
Abyssal Necrophyte,abyssal_necrophyte,"abyssal, fish",COMMON,graphics/catchrelease/fish/abyssal_necrophyte.png,"Comes up the line already decaying and stops at about half. The smell carries through a closed airlock, which no smell does.",,12,MIXED,1.5,1.65,2.5,150,0.85,1.4,45.0,6.0,2.0,0.8,2400,,,,,BREACH_LAMP,,ABYSSAL,180
Abyssal Eyestar,abyssal_phase_star,"abyssal, other",COMMON,graphics/catchrelease/fish/abyssal_phase_star.png,"Five arms, a hundred pupils, and no agreement between them about where the centre is. Holds together while watched and comes apart when it is not. Must be watched.",,12,MIXED,1.5,1.65,3.0,150,0.85,1.4,420.0,60.0,5.5,2.0,2400,,,,,BREACH_LAMP,,ABYSSAL,90
Abyssal Razorshrimp,abyssal_razorback_shrimp,"abyssal, crab",COMMON,graphics/catchrelease/fish/abyssal_razorback_shrimp.png,Flint-shelled and segmented past counting - several of those segments being perfect duplicates. The edges are sharper than the shape carrying them has any business supporting.,,12,TWITCHER,1.5,1.65,2.5,150,0.85,1.4,1.2,0.1,0.35,0.12,2400,,,,,POND,,ABYSSAL,180
Abyssal Ridge Clam,abyssal_razorclam,"abyssal, mollusc",RARE,graphics/catchrelease/fish/abyssal_razorclam.png,Opens along three hinges. Reality permits two.,,5,LUNGER,1.65,1.8,1.6,180,0.72,1.9,8.0,0.8,0.8,0.3,4800,,,,,POND,,ABYSSAL,90
Abyssal Shard Lobster,abyssal_stoneplate_lobster,"abyssal, crab",UNCOMMON,graphics/catchrelease/fish/abyssal_stoneplate_lobster.png,Plated in something nearer slag than shell and cold enough to take skin off through a glove. It works its claws for a day after everything else in it has stopped.,,8,LUNGER,1.6,1.75,1.8,165,0.8,1.55,45.0,6.0,2.0,0.8,3200,,,,,POND,,ABYSSAL,180
Abyssal Aranea,abyssal_venemous_aranea,"abyssal, fish",COMMON,graphics/catchrelease/fish/abyssal_venemous_aranea.png,Neither fish nor spider and committed to both. The venom has resisted classification; medical advises against handling and the galley advises against everything else.,,12,MIXED,1.5,1.65,2.5,150,0.85,1.4,45.0,6.0,2.0,0.8,2400,,,,,BREACH_LAMP,,ABYSSAL,180
Abyssal Yellowback,abyssal_yellowback,"abyssal, fish",COMMON,graphics/catchrelease/fish/abyssal_yellowback.png,The one abyssal catch that looks almost ordinary. The yellow is not pigment and does not stay on the fish.,,12,MIXED,1.5,1.65,2.5,150,0.85,1.4,45.0,6.0,2.0,0.8,2400,,,,,,,ABYSSAL,180
